EventID,Timestamp,Provider,User,Message
10400,2025-04-08 11:11:52.389532,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 418
10400,2025-04-08 11:11:53.473389,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 419
10400,2025-04-08 11:12:08.109322,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 420
10400,2025-04-08 11:12:08.986486,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 421
10400,2025-04-08 11:12:09.987240,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 422
10400,2025-04-08 11:12:10.849741,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 423
10400,2025-04-08 11:12:21.772591,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 424
10400,2025-04-08 11:12:32.960938,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 425
10400,2025-04-08 11:12:33.901907,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 426
10400,2025-04-08 11:12:35.067303,Microsoft-Windows-NDIS,Unknown,{4d54cdbc-8abc-485c-9b10-7c77af28ab5b} | 7 | 19985273102270464 | Intel(R) Dual Band Wireless-AC 8260 | 3 | 427
