EventID,Timestamp,Provider,User,Message
5000,2025-04-08 11:13:40.629221,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:13:41.687038,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:13:42.906443,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:13:59.960791,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:01.086079,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:01.994678,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:02.948921,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:03.986134,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:05.039030,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:05.912901,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:06.924978,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:07.910706,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:08.733114,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:09.861235,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:10.732578,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:11.950754,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:13.217459,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:14.476309,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:15.637611,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:16.738304,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
5000,2025-04-08 11:14:17.780144,Netwtw06,Unknown,"<string>\Device\NDMP18</string>
<string>Intel(R) Dual Band Wireless-AC 8260</string>"
